Site,Distance,Especie,Exp_amplitude,Obs_amplitude,Tree_Density,Canopy_Cover,Slope,Colors
1,5,Sp1,-30.779,-18.8,0.08,89.65,6.05,blue3
2,5,Sp1,-30.779,-7.4,0.06,88.93,8.9,blueviolet
3,5,Sp1,-30.779,-18.2,0.06,93.62,5.63,red3
4,5,Sp1,-30.779,-16.5,0.01,84.68,5.63,green3
5,5,Sp1,-30.779,-12.7,0.01,93.97,6.25,orange
6,5,Sp1,-30.779,-13,0.03,18.82,3.75,gray40
1,20,Sp1,-42.821,-27.6,0.1,85.37,15.75,blue3
2,20,Sp1,-42.821,-24,0.11,89.17,15.68,blueviolet
3,20,Sp1,-42.821,-39,0.03,91.08,6.65,red3
4,20,Sp1,-42.821,-30.1,0.03,50.51,6.65,green3
5,20,Sp1,-42.821,-35.1,0.06,95.21,6.18,orange
6,20,Sp1,-42.821,-25.9,0.01,29.81,3.05,gray40
1,40,Sp1,-48.841,-37.3,0.04,93.99,3.8,blue3
2,40,Sp1,-48.841,-41.4,0.05,91.46,17.4,blueviolet
3,40,Sp1,-48.841,-44.1,0.05,92.56,6.85,red3
4,40,Sp1,-48.841,-45.3,0.01,47.24,6.85,green3
5,40,Sp1,-48.841,-32.8,0.05,95.06,8.2,orange
6,40,Sp1,-48.841,-35.5,0.01,34.31,2.2,gray40
1,60,Sp1,-52.363,-45.4,0.06,90.63,25.75,blue3
2,60,Sp1,-52.363,-36.6,0.05,85.17,18.7,blueviolet
3,60,Sp1,-52.363,-50.7,0.09,93.24,4.9,red3
4,60,Sp1,-52.363,-49.2,0.01,80.7,5.9,green3
5,60,Sp1,-52.363,-39.3,0.08,87.73,8.2,orange
6,60,Sp1,-52.363,-42.6,0,49.2,2.9,gray40
1,80,Sp1,-54.862,-54.2,0.13,96.24,28.08,blue3
2,80,Sp1,-54.862,-38.7,0.05,93.09,15.08,blueviolet
3,80,Sp1,-54.862,-55.5,0.09,95.11,7.3,red3
4,80,Sp1,-54.862,-53.7,0.06,89.44,4.8,green3
5,80,Sp1,-54.862,-39.8,0.05,88.37,9,orange
6,80,Sp1,-54.862,-50.8,0,27.11,2,gray40
1,100,Sp1,-56.8,-100,0.06,92.08,22.5,blue3
2,100,Sp1,-56.8,-41.7,0.03,94.7,19.15,blueviolet
3,100,Sp1,-56.8,-57.4,0.09,91.88,3.85,red3
4,100,Sp1,-56.8,-55.3,0.06,91.63,3.85,green3
5,100,Sp1,-56.8,-50.2,0.09,90.77,11.1,orange
6,100,Sp1,-56.8,-53.7,0,0.4,1.9,gray40
1,5,Sp2,-39.179,-32.7,0.08,89.65,6.05,blue3
2,5,Sp2,-39.179,-27.1,0.06,88.93,8.9,blueviolet
3,5,Sp2,-39.179,-25.9,0.06,93.62,5.63,red3
4,5,Sp2,-39.179,-26.7,0.01,84.68,5.63,green3
5,5,Sp2,-39.179,-21.7,0.01,93.97,6.25,orange
6,5,Sp2,-39.179,-24.7,0.03,18.82,3.75,gray40
1,20,Sp2,-51.221,-41,0.1,85.37,15.75,blue3
2,20,Sp2,-51.221,-39.3,0.11,89.17,15.68,blueviolet
3,20,Sp2,-51.221,-35.7,0.03,91.08,6.65,red3
4,20,Sp2,-51.221,-38.5,0.03,50.51,6.65,green3
5,20,Sp2,-51.221,-41.5,0.06,95.21,6.18,orange
6,20,Sp2,-51.221,-37.4,0.01,29.81,3.05,gray40
1,40,Sp2,-57.241,-50.8,0.04,93.99,3.8,blue3
2,40,Sp2,-57.241,-51.2,0.05,91.46,17.4,blueviolet
3,40,Sp2,-57.241,-51.4,0.05,92.56,6.85,red3
4,40,Sp2,-57.241,-50.5,0.01,47.24,6.85,green3
5,40,Sp2,-57.241,-38.7,0.05,95.06,8.2,orange
6,40,Sp2,-57.241,-45.3,0.01,34.31,2.2,gray40
1,60,Sp2,-60.763,-57.5,0.06,90.63,25.75,blue3
2,60,Sp2,-60.763,-51.4,0.05,85.17,18.7,blueviolet
3,60,Sp2,-60.763,-55.2,0.09,93.24,4.9,red3
4,60,Sp2,-60.763,-57.7,0.01,80.7,5.9,green3
5,60,Sp2,-60.763,-45.9,0.08,87.73,8.2,orange
6,60,Sp2,-60.763,-48.7,0,49.2,2.9,gray40
1,80,Sp2,-63.262,-62.2,0.13,96.24,28.08,blue3
2,80,Sp2,-63.262,-49.3,0.05,93.09,15.08,blueviolet
3,80,Sp2,-63.262,-65.2,0.09,95.11,7.3,red3
4,80,Sp2,-63.262,-63.5,0.06,89.44,4.8,green3
5,80,Sp2,-63.262,-53.5,0.05,88.37,9,orange
6,80,Sp2,-63.262,-53.8,0,27.11,2,gray40
1,100,Sp2,-65.2,-100,0.06,92.08,22.5,blue3
2,100,Sp2,-65.2,-50.5,0.03,94.7,19.15,blueviolet
3,100,Sp2,-65.2,-100,0.09,91.88,3.85,red3
4,100,Sp2,-65.2,-66.3,0.06,91.63,3.85,green3
5,100,Sp2,-65.2,-55.9,0.09,90.77,11.1,orange
6,100,Sp2,-65.2,-58,0,0.4,1.9,gray40
1,5,Sp3,-43.879,-26.7,0.08,89.65,6.05,blue3
2,5,Sp3,-43.879,-20.9,0.06,88.93,8.9,blueviolet
3,5,Sp3,-43.879,-27,0.06,93.62,5.63,red3
4,5,Sp3,-43.879,-23.2,0.01,84.68,5.63,green3
5,5,Sp3,-43.879,-20.4,0.01,93.97,6.25,orange
6,5,Sp3,-43.879,-20.2,0.03,18.82,3.75,gray40
1,20,Sp3,-55.921,-33.3,0.1,85.37,15.75,blue3
2,20,Sp3,-55.921,-32.5,0.11,89.17,15.68,blueviolet
3,20,Sp3,-55.921,-42.9,0.03,91.08,6.65,red3
4,20,Sp3,-55.921,-37.3,0.03,50.51,6.65,green3
5,20,Sp3,-55.921,-41.1,0.06,95.21,6.18,orange
6,20,Sp3,-55.921,-31.9,0.01,29.81,3.05,gray40
1,40,Sp3,-61.941,-45.7,0.04,93.99,3.8,blue3
2,40,Sp3,-61.941,-46.1,0.05,91.46,17.4,blueviolet
3,40,Sp3,-61.941,-50.3,0.05,92.56,6.85,red3
4,40,Sp3,-61.941,-51,0.01,47.24,6.85,green3
5,40,Sp3,-61.941,-37.1,0.05,95.06,8.2,orange
6,40,Sp3,-61.941,-42.9,0.01,34.31,2.2,gray40
1,60,Sp3,-65.463,-51.9,0.06,90.63,25.75,blue3
2,60,Sp3,-65.463,-44.7,0.05,85.17,18.7,blueviolet
3,60,Sp3,-65.463,-55,0.09,93.24,4.9,red3
4,60,Sp3,-65.463,-52.4,0.01,80.7,5.9,green3
5,60,Sp3,-65.463,-45.3,0.08,87.73,8.2,orange
6,60,Sp3,-65.463,-49.6,0,49.2,2.9,gray40
1,80,Sp3,-67.962,-58.7,0.13,96.24,28.08,blue3
2,80,Sp3,-67.962,-44.7,0.05,93.09,15.08,blueviolet
3,80,Sp3,-67.962,-56.8,0.09,95.11,7.3,red3
4,80,Sp3,-67.962,-59.5,0.06,89.44,4.8,green3
5,80,Sp3,-67.962,-49.3,0.05,88.37,9,orange
6,80,Sp3,-67.962,-56.1,0,27.11,2,gray40
1,100,Sp3,-69.9,-100,0.06,92.08,22.5,blue3
2,100,Sp3,-69.9,-50.3,0.03,94.7,19.15,blueviolet
3,100,Sp3,-69.9,-62.1,0.09,91.88,3.85,red3
4,100,Sp3,-69.9,-59.8,0.06,91.63,3.85,green3
5,100,Sp3,-69.9,-51.9,0.09,90.77,11.1,orange
6,100,Sp3,-69.9,-58.3,0,0.4,1.9,gray40
1,5,Sp4,-43.479,-43.7,0.08,89.65,6.05,blue3
2,5,Sp4,-43.479,-28.4,0.06,88.93,8.9,blueviolet
3,5,Sp4,-43.479,-30.5,0.06,93.62,5.63,red3
4,5,Sp4,-43.479,-30.7,0.01,84.68,5.63,green3
5,5,Sp4,-43.479,-35.5,0.01,93.97,6.25,orange
6,5,Sp4,-43.479,-26.4,0.03,18.82,3.75,gray40
1,20,Sp4,-51.221,-54.8,0.1,85.37,15.75,blue3
2,20,Sp4,-51.221,-50.2,0.11,89.17,15.68,blueviolet
3,20,Sp4,-51.221,-50.3,0.03,91.08,6.65,red3
4,20,Sp4,-51.221,-45,0.03,50.51,6.65,green3
5,20,Sp4,-51.221,-51.5,0.06,95.21,6.18,orange
6,20,Sp4,-51.221,-41.8,0.01,29.81,3.05,gray40
1,40,Sp4,-57.241,-64.2,0.04,93.99,3.8,blue3
2,40,Sp4,-57.241,-63.5,0.05,91.46,17.4,blueviolet
3,40,Sp4,-57.241,-56.9,0.05,92.56,6.85,red3
4,40,Sp4,-57.241,-51,0.01,47.24,6.85,green3
5,40,Sp4,-57.241,-55.8,0.05,95.06,8.2,orange
6,40,Sp4,-57.241,-49.5,0.01,34.31,2.2,gray40
1,60,Sp4,-60.763,-100,0.06,90.63,25.75,blue3
2,60,Sp4,-60.763,-63.8,0.05,85.17,18.7,blueviolet
3,60,Sp4,-60.763,-69.3,0.09,93.24,4.9,red3
4,60,Sp4,-60.763,-68.5,0.01,80.7,5.9,green3
5,60,Sp4,-60.763,-56.7,0.08,87.73,8.2,orange
6,60,Sp4,-60.763,-55.2,0,49.2,2.9,gray40
1,80,Sp4,-63.262,-100,0.13,96.24,28.08,blue3
2,80,Sp4,-63.262,-68.7,0.05,93.09,15.08,blueviolet
3,80,Sp4,-63.262,-75.2,0.09,95.11,7.3,red3
4,80,Sp4,-63.262,-100,0.06,89.44,4.8,green3
5,80,Sp4,-63.262,-66.4,0.05,88.37,9,orange
6,80,Sp4,-63.262,-67.4,0,27.11,2,gray40
1,100,Sp4,-65.2,-100,0.06,92.08,22.5,blue3
2,100,Sp4,-65.2,-74.6,0.03,94.7,19.15,blueviolet
3,100,Sp4,-65.2,-100,0.09,91.88,3.85,red3
4,100,Sp4,-65.2,-100,0.06,91.63,3.85,green3
5,100,Sp4,-65.2,-67.7,0.09,90.77,11.1,orange
6,100,Sp4,-65.2,-66.7,0,0.4,1.9,gray40
1,5,Sp5,-35.479,-42.5,0.08,89.65,6.05,blue3
2,5,Sp5,-35.479,-44.4,0.06,88.93,8.9,blueviolet
3,5,Sp5,-35.479,-35.6,0.06,93.62,5.63,red3
4,5,Sp5,-35.479,-30.9,0.01,84.68,5.63,green3
5,5,Sp5,-35.479,-35.7,0.01,93.97,6.25,orange
6,5,Sp5,-35.479,-29.9,0.03,18.82,3.75,gray40
1,20,Sp5,-51.221,-50,0.1,85.37,15.75,blue3
2,20,Sp5,-51.221,-51.5,0.11,89.17,15.68,blueviolet
3,20,Sp5,-51.221,-49.4,0.03,91.08,6.65,red3
4,20,Sp5,-51.221,-38.9,0.03,50.51,6.65,green3
5,20,Sp5,-51.221,-55.2,0.06,95.21,6.18,orange
6,20,Sp5,-51.221,-37.1,0.01,29.81,3.05,gray40
1,40,Sp5,-57.241,-58,0.04,93.99,3.8,blue3
2,40,Sp5,-57.241,-60.4,0.05,91.46,17.4,blueviolet
3,40,Sp5,-57.241,-53.3,0.05,92.56,6.85,red3
4,40,Sp5,-57.241,-50.6,0.01,47.24,6.85,green3
5,40,Sp5,-57.241,-53,0.05,95.06,8.2,orange
6,40,Sp5,-57.241,-51.8,0.01,34.31,2.2,gray40
1,60,Sp5,-60.763,-64,0.06,90.63,25.75,blue3
2,60,Sp5,-60.763,-63.9,0.05,85.17,18.7,blueviolet
3,60,Sp5,-60.763,-63.6,0.09,93.24,4.9,red3
4,60,Sp5,-60.763,-59.3,0.01,80.7,5.9,green3
5,60,Sp5,-60.763,-60.7,0.08,87.73,8.2,orange
6,60,Sp5,-60.763,-46.7,0,49.2,2.9,gray40
1,80,Sp5,-63.262,-100,0.13,96.24,28.08,blue3
2,80,Sp5,-63.262,-61.8,0.05,93.09,15.08,blueviolet
3,80,Sp5,-63.262,-100,0.09,95.11,7.3,red3
4,80,Sp5,-63.262,-67,0.06,89.44,4.8,green3
5,80,Sp5,-63.262,-60.3,0.05,88.37,9,orange
6,80,Sp5,-63.262,-51.8,0,27.11,2,gray40
1,100,Sp5,-65.2,-100,0.06,92.08,22.5,blue3
2,100,Sp5,-65.2,-65.4,0.03,94.7,19.15,blueviolet
3,100,Sp5,-65.2,-100,0.09,91.88,3.85,red3
4,100,Sp5,-65.2,-71,0.06,91.63,3.85,green3
5,100,Sp5,-65.2,-57.5,0.09,90.77,11.1,orange
6,100,Sp5,-65.2,-57.8,0,0.4,1.9,gray40
1,5,Sp6,-35.379,-32.5,0.08,89.65,6.05,blue3
2,5,Sp6,-35.379,-26.2,0.06,88.93,8.9,blueviolet
3,5,Sp6,-35.379,-22.1,0.06,93.62,5.63,red3
4,5,Sp6,-35.379,-23.9,0.01,84.68,5.63,green3
5,5,Sp6,-35.379,-21.4,0.01,93.97,6.25,orange
6,5,Sp6,-35.379,-22.3,0.03,18.82,3.75,gray40
1,20,Sp6,-47.421,-39.5,0.1,85.37,15.75,blue3
2,20,Sp6,-47.421,-42.1,0.11,89.17,15.68,blueviolet
3,20,Sp6,-47.421,-41.1,0.03,91.08,6.65,red3
4,20,Sp6,-47.421,-33.6,0.03,50.51,6.65,green3
5,20,Sp6,-47.421,-42.7,0.06,95.21,6.18,orange
6,20,Sp6,-47.421,-37.4,0.01,29.81,3.05,gray40
1,40,Sp6,-53.441,-52.2,0.04,93.99,3.8,blue3
2,40,Sp6,-53.441,-53.2,0.05,91.46,17.4,blueviolet
3,40,Sp6,-53.441,-46.5,0.05,92.56,6.85,red3
4,40,Sp6,-53.441,-42.4,0.01,47.24,6.85,green3
5,40,Sp6,-53.441,-43.9,0.05,95.06,8.2,orange
6,40,Sp6,-53.441,-53.3,0.01,34.31,2.2,gray40
1,60,Sp6,-56.963,-62.2,0.06,90.63,25.75,blue3
2,60,Sp6,-56.963,-52,0.05,85.17,18.7,blueviolet
3,60,Sp6,-56.963,-58.9,0.09,93.24,4.9,red3
4,60,Sp6,-56.963,-58.7,0.01,80.7,5.9,green3
5,60,Sp6,-56.963,-48.2,0.08,87.73,8.2,orange
6,60,Sp6,-56.963,-48.3,0,49.2,2.9,gray40
1,80,Sp6,-59.462,-65.2,0.13,96.24,28.08,blue3
