Site,Distance,Mean_dB
1,1,-12.89647423
1,5,-21.01304164
1,20,-22.02441372
1,40,-40.00446233
1,60,-44.61454313
1,80,-54.27010346
1,100,-100
2,1,-12.89647423
2,5,-13.48484472
2,20,-25.61196896
2,40,-37.25530445
2,60,-38.41752818
2,80,-37.81750855
2,100,-43.53725979
3,1,-12.89647423
3,5,-20.0701584
3,20,-33.02720642
3,40,-42.6663881
3,60,-45.73562059
3,80,-49.58050948
3,100,-54.35793884
4,1,-12.89647423
4,5,-16.46892379
4,20,-30.62511352
4,40,-43.0396147
4,60,-44.55068921
4,80,-52.02872805
4,100,-52.38762625
5,1,-12.89647423
5,5,-15.03200382
5,20,-34.5581628
5,40,-28.25729208
5,60,-39.52458975
5,80,-42.18977644
5,100,-44.91774614
6,1,-12.89647423
6,5,-14.82870917
6,20,-27.20385722
6,40,-34.32370167
6,60,-42.77556201
6,80,-48.36774817
6,100,-49.67902111
