Test,Site,Distance,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp8,Sp9,Sp10,TreeDensity,CanopyCover,Slope
REFERENCIA,0,1,-16.8,-25.2,-29.9,-29.5,-21.5,-21.4,-28.7,-35,-16.1,-3.5,NA,NA,NA
ASR1_P1,1,5,-18.8,-32.7,-26.7,-43.7,-42.5,-32.5,-29.9,-47.9,-28.6,-12.2,0.08,89.65,6.05
ASR1_P2,1,20,-27.6,-41,-33.3,-54.8,-50,-39.5,-38.2,-51.2,-28.9,-12.3,0.10,85.37,15.75
ASR1_P3,1,40,-37.3,-50.8,-45.7,-64.2,-58,-52.2,-49.5,-100,-44.7,-31.4,0.04,93.99,3.80
ASR1_P4,1,60,-45.4,-57.5,-51.9,-100,-64,-62.2,-56.3,-100,-55,-35.2,0.06,90.63,25.75
ASR1_P5,1,80,-54.2,-62.2,-58.7,-100,-100,-65.2,-57.9,-100,-58.1,-45.5,0.13,96.24,28.08
ASR1_P6,1,100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.06,92.08,22.50
ASR2_P1,2,5,-7.4,-27.1,-20.9,-28.4,-44.4,-26.2,-26.7,-29.3,-20.4,-6.2,0.06,88.93,8.90
ASR2_P2,2,20,-24,-39.3,-32.5,-50.2,-51.5,-42.1,-36.9,-48.9,-39.1,-16.5,0.11,89.17,15.68
ASR2_P3,2,40,-41.4,-51.2,-46.1,-63.5,-60.4,-53.2,-49.8,-63.2,-46.6,-27.6,0.05,91.46,17.40
ASR2_P4,2,60,-36.6,-51.4,-44.7,-63.8,-63.9,-52,-49.2,-70,-49.1,-29.4,0.05,85.17,18.70
ASR2_P5,2,80,-38.7,-49.3,-44.7,-68.7,-61.8,-55.6,-49.6,-69.1,-49.1,-28.4,0.05,93.09,15.08
ASR2_P6,2,100,-41.7,-50.5,-50.3,-74.6,-65.4,-61.8,-53.4,-75.8,-49,-34.7,0.03,94.70,19.15
ASR3_P1,3,5,-18.2,-25.9,-27,-30.5,-35.6,-22.1,-26.7,-33.3,-18.6,-12.6,0.06,93.62,5.63
ASR3_P2,3,20,-39,-35.7,-42.9,-50.3,-49.4,-41.1,-43.5,-49,-28.9,-25.1,0.03,91.08,6.65
ASR3_P3,3,40,-44.1,-51.4,-50.3,-56.9,-53.3,-46.5,-55.1,-61.5,-40.9,-34.3,0.05,92.56,6.85
ASR3_P4,3,60,-50.7,-55.2,-55,-69.3,-63.6,-58.9,-59.3,-75.2,-48.3,-36.3,0.09,93.24,4.90
ASR3_P5,3,80,-55.5,-65.2,-56.8,-75.2,-100,-64.6,-61.7,-100,-58.1,-39.9,0.09,95.11,7.30
ASR3_P6,3,100,-57.4,-100,-62.1,-100,-100,-73.2,-65.7,-100,-61,-44.8,0.09,91.88,3.85
ASR4_P1,4,5,-16.5,-26.7,-23.2,-30.7,-30.9,-23.9,-28.3,-32.8,-21.9,-7.4,0.01,84.68,5.63
ASR4_P2,4,20,-30.1,-38.5,-37.3,-45,-38.9,-33.6,-41.3,-41.6,-32.3,-22.2,0.03,50.51,6.65
ASR4_P3,4,40,-45.3,-50.5,-51,-51,-50.6,-42.4,-55,-51.1,-45.8,-34.7,0.01,47.24,6.85
ASR4_P4,4,60,-49.2,-57.7,-52.4,-68.5,-59.3,-58.7,-56.1,-70.5,-47.7,-35.1,0.01,80.70,5.90
ASR4_P5,4,80,-53.7,-63.5,-59.5,-100,-67,-68.2,-60.7,-100,-55,-42.8,0.06,89.44,4.80
ASR4_P6,4,100,-55.3,-66.3,-59.8,-100,-71,-70.8,-100,-100,-60.8,-42.8,0.06,91.63,3.85
ASR5_P1,5,5,-12.7,-21.7,-20.4,-35.5,-35.7,-21.4,-24.8,-35.3,-12,-7.7,0.01,93.97,6.25
ASR5_P2,5,20,-35.1,-41.5,-41.1,-51.5,-55.2,-42.7,-47.6,-58.3,-32.1,-26.3,0.06,95.21,6.18
ASR5_P3,5,40,-32.8,-38.7,-37.1,-55.8,-53,-43.9,-41.3,-55.7,-33.3,-18.7,0.05,95.06,8.20
ASR5_P4,5,60,-39.3,-45.9,-45.3,-56.7,-60.7,-48.2,-51.3,-62.5,-40.7,-30.8,0.08,87.73,8.20
ASR5_P5,5,80,-39.8,-53.5,-49.3,-66.4,-60.3,-57.2,-50.8,-69.1,-48.4,-33.4,0.05,88.37,9.00
ASR5_P6,5,100,-50.2,-55.9,-51.9,-67.7,-57.5,-58.1,-58.3,-70.7,-49.9,-35.4,0.09,90.77,11.10
ASR6_P1,6,5,-13,-24.7,-20.2,-26.4,-29.9,-22.3,-25.7,-34.5,-26.1,-6,0.03,18.82,3.75
ASR6_P2,6,20,-25.9,-37.4,-31.9,-41.8,-37.1,-37.4,-37.9,-39.3,-39,-18.3,0.01,29.81,3.05
ASR6_P3,6,40,-35.5,-45.3,-42.9,-49.5,-51.8,-53.3,-48,-51.6,-42.9,-24.9,0.01,34.31,2.20
ASR6_P4,6,60,-42.6,-48.7,-49.6,-55.2,-46.7,-48.3,-54.1,-62,-44.8,-34.3,0.00,49.20,2.90
ASR6_P5,6,80,-50.8,-53.8,-56.1,-67.4,-51.8,-57.4,-58.4,-70,-47.4,-39.9,0.00,27.11,2.00
ASR6_P6,6,100,-53.7,-58,-58.3,-66.7,-57.8,-57.9,-100,-68.8,-54.7,-40.3,0.00,0.40,1.90
