DÍA,FECHA,PRECIP_mm
1,01/01/2013,0.8
2,02/01/2013,18.6
3,03/01/2013,3.3
4,04/01/2013,0
5,05/01/2013,1.5
6,06/01/2013,3.2
7,07/01/2013,0.2
8,08/01/2013,0
9,09/01/2013,0
10,10/01/2013,0.3
11,11/01/2013,0
12,12/01/2013,0
13,13/01/2013,0
14,14/01/2013,0
15,15/01/2013,0.6
16,16/01/2013,5.1
17,17/01/2013,0.1
18,18/01/2013,0
19,19/01/2013,0
20,20/01/2013,0
21,21/01/2013,0.1
22,22/01/2013,5.4
23,23/01/2013,15.8
24,24/01/2013,0.2
25,25/01/2013,0.2
26,26/01/2013,0
27,27/01/2013,0
28,28/01/2013,0
29,29/01/2013,0
30,30/01/2013,1.7
31,31/01/2013,7.2
32,01/02/2013,0.8
33,02/02/2013,0
34,03/02/2013,8.8
35,04/02/2013,0
36,05/02/2013,0
37,06/02/2013,0
38,07/02/2013,0
39,08/02/2013,0
40,09/02/2013,0
41,10/02/2013,0
42,11/02/2013,0
43,12/02/2013,0
44,13/02/2013,2.7
45,14/02/2013,16.5
46,15/02/2013,7.6
47,16/02/2013,1.4
48,17/02/2013,1.1
49,18/02/2013,0
50,19/02/2013,0
51,20/02/2013,0
52,21/02/2013,0
53,22/02/2013,0
54,23/02/2013,0.2
55,24/02/2013,0
56,25/02/2013,0
57,26/02/2013,8.2
58,27/02/2013,0.7
59,28/02/2013,19
60,01/03/2013,14.8
61,02/03/2013,0
62,03/03/2013,0
63,04/03/2013,0
64,05/03/2013,0
65,06/03/2013,0
66,07/03/2013,2.2
67,08/03/2013,0.1
68,09/03/2013,0
69,10/03/2013,0
70,11/03/2013,17.1
71,12/03/2013,3
72,13/03/2013,7.4
73,14/03/2013,0.8
74,15/03/2013,5.3
75,16/03/2013,0
76,17/03/2013,0
77,18/03/2013,0
78,19/03/2013,0
79,20/03/2013,7.5
80,21/03/2013,0
81,22/03/2013,0
82,23/03/2013,0
83,24/03/2013,1.7
84,25/03/2013,20.8
85,26/03/2013,19.3
86,27/03/2013,7.1
87,28/03/2013,3
88,29/03/2013,0
89,30/03/2013,0
90,31/03/2013,0
91,01/04/2013,0.3
92,02/04/2013,8
93,03/04/2013,1.4
94,04/04/2013,20.5
95,05/04/2013,9.8
96,06/04/2013,0
97,07/04/2013,0.1
98,08/04/2013,0
99,09/04/2013,0
100,10/04/2013,0
101,11/04/2013,3.9
102,12/04/2013,2.4
103,13/04/2013,0
104,14/04/2013,0
105,15/04/2013,0
106,16/04/2013,0
107,17/04/2013,0
108,18/04/2013,0
109,19/04/2013,13.4
110,20/04/2013,1.2
111,21/04/2013,0.1
112,22/04/2013,0.1
113,23/04/2013,0
114,24/04/2013,0
